DATAFLOW,LAST UPDATE,freq,unit,tenure,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AL,2017,33.5,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AL,2018,33.0,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AL,2019,32.6,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AL,2020,10.2,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AL,2021,3.5,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AL,2022,0.3,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AL,2023,1.1,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2007,2.2,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2008,2.5,b,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2009,1.7,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2010,2.6,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2011,2.0,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2012,2.6,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2013,2.9,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2014,1.8,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2015,1.4,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2016,2.1,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2017,1.6,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2018,2.6,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2019,2.0,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2020,2.1,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2021,1.6,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2022,1.4,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2023,2.3,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,AT,2024,2.1,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2004,5.8,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2005,3.2,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2006,4.4,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2007,4.5,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2008,6.5,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2009,2.5,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2010,3.1,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2011,3.3,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2012,3.6,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2013,3.8,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2014,3.1,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2015,2.4,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2016,2.5,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2017,2.8,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2018,1.2,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2019,0.9,b,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2020,1.1,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2021,0.8,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2022,0.6,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2023,0.8,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2024,1.0,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BE,2025,0.9,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BG,2006,62.0,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BG,2007,26.6,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BG,2008,18.9,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BG,2009,3.6,,
ESTAT:ILC_LVHO07C(1.0),13/03/26 23:00:00,A,PC,OWN_L,BG,2010,3.0,,
